page,url,error,timestamp
157,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/157,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:21:29.215013
143,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/143,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:21:29.216017
144,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/144,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:21:29.216017
169,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/169,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:21:51.617139
164,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/164,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:21:51.649073
167,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/167,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:21:51.663096
170,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/170,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:21:51.698824
162,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/162,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:21:51.698824
171,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/171,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:21:51.711907
176,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/176,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:21:51.729290
175,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/175,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:21:51.729290
177,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/177,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:21:51.742368
165,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/165,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:21:51.742368
178,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/178,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:21:51.757538
182,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/182,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:22:14.162505
